Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,method,paths
s3-01,37,37,0,1,37,0,0,0,2875,2883,12544,0,44,3,20,0.0194898,1,10.398260869565217,6.964173913043478,7.964173913043478,5.9499130434782606,0,0,satisfy,0
s3-02,37,37,0,1,37,0,0,0,1761,1770,8521,0,30,3,20,0.0195423,1,10.175468483816013,6.7666098807495745,7.7666098807495745,5.286201022146508,0,0,satisfy,0
s3-03,36,36,0,1,36,0,0,0,1560,1569,6983,0,21,3,20,0.0195701,1,10.528846153846153,7.048076923076923,8.048076923076923,5.822435897435898,0,0,satisfy,0
s3-04,39,39,0,1,39,0,0,0,3947,3953,19972,0,69,3,20,0.0194592,1,9.735748669875855,5.4644850329781836,6.457562705852546,5.116290853813022,0,5,satisfy,0
s3-05,39,39,0,1,39,0,0,0,7597,7601,33322,0,199,3,20,0.0198797,1,10.165986573647492,6.263559768299105,7.317625378438858,5.83519810451494,0,1,satisfy,0
s3-06,39,39,0,1,39,0,0,0,16982,16987,74791,0,530,3,20,0.0196627,1,10.124602520315628,6.359978793590952,7.357731715934519,5.758567895418679,0,6,satisfy,0
s3-07,37,37,0,1,37,0,0,0,4775,4780,21374,0,93,3,20,0.0201564,1,10.873089005235602,6.977591623036649,7.977591623036649,6.305549738219895,0,0,satisfy,0
s3-08,38,38,0,1,38,0,0,0,6384,6387,30949,0,140,3,20,0.018958,1,9.867951127819548,6.037756540811531,7.146146616541353,5.263627819548872,0,1,satisfy,0
s3-09,39,39,0,1,39,0,0,0,11664,11862,45888,0,284,3,20,0.0234423,1.0162894375857339,10.140089163237311,6.740889993998113,7.8032407407407405,6.231910150891633,0,1,satisfy,0
s3-10,39,39,0,1,39,0,0,0,9814,9823,40448,0,237,3,20,0.0203244,1,9.909517016507031,6.347737464329392,7.346443855716323,5.884654575096801,0,2,satisfy,0
s4-01,57,57,0,1,57,0,0,0,691492,691522,3734001,0,23200,4,30,0.0257471,1.0000260306699138,15.589087075483159,11.17541489995546,12.29331792703314,10.352462501373841,0,0,satisfy,0
s4-02,58,58,0,1,58,0,0,0,713869,713878,4198502,0,24746,4,30,0.0270321,1,15.487852813331298,10.356218017591463,11.37223075942505,10.357204192926153,0,0,satisfy,0
s4-03,59,59,0,1,59,0,0,0,4719000,4719013,25234097,0,194757,4,30,0.0241342,1,15.07090675990676,10.583280002780253,11.583271031998304,10.023020555202374,0,4,satisfy,0
s4-04,57,57,0,1,57,0,0,0,982641,982654,4823715,0,31966,4,30,0.0263357,1,15.415967784775924,11.328194121759624,12.328194121759624,10.80411666112039,0,0,satisfy,0
s4-05,55,55,0,1,55,0,0,0,210706,210719,1164928,0,7074,4,30,0.0209694,1,14.997456171157916,11.22774861655577,12.87241464410126,8.9699154271829,0,0,satisfy,0
s4-06,56,56,0,1,56,0,0,0,948402,948414,4473448,0,31658,4,30,0.0202469,1,15.444853553661844,11.803720363305855,12.803720363305855,10.399690215752392,0,0,satisfy,0
s4-07,59,59,0,1,59,0,0,0,6491125,6491138,31883790,0,237896,4,30,0.0229093,1,15.281699089140943,10.949556024366819,11.94955096381598,10.480693870476998,0,3,satisfy,0
s4-08,57,57,0,1,57,0,0,0,606341,606353,3020048,0,19417,4,30,0.0217049,1,15.249912178130788,11.313768984779191,12.313768984779191,10.213069873223153,0,0,satisfy,0
s4-09,55,55,0,1,55,0,0,0,63733,63746,346436,0,2137,4,30,0.0199148,1,15.676148933833336,11.390111872970047,12.735458867462697,9.699794454991919,0,0,satisfy,0
s4-10,59,59,0,1,59,0,0,0,3106859,3106871,16788479,0,113484,4,30,0.0202015,1,15.44530022122021,10.608231405565174,11.608224576654429,10.48732208317146,0,2,satisfy,0
s5-01,,,,,,,0,0,29094500,29094550,182002906,0,1199869,5,40,0.0211327,1.0000012373472649,20.310779597518433,14.825106394679407,15.838768873842135,15.47823939232501,0,0,satisfy,0
s5-02,,,,,,,0,0,29183236,29229158,180396236,0,1199866,5,40,0.0212357,1.0015730263771983,20.041202353296256,15.153776709340939,16.414392735610267,14.712791926159252,0,0,satisfy,0
s5-03,,,,,,,0,0,37992963,38024855,232482311,0,1199869,5,40,0.022468,1.0008389974743481,20.739298853843014,15.471354866426186,16.75870276293007,15.026938567544732,0,0,satisfy,0
s5-04,74,74,0,1,74,0,0,0,26167800,26167862,160875193,0,824836,5,40,0.017471,1.0000017196707405,20.233806395646557,15.782168428373803,17.14334395707702,13.829457921567728,0,0,satisfy,0
